ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,All Souls' Day,All Souls' Day_lower,All Souls' Day_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Good Friday,Good Friday_lower,Good Friday_upper,Independence Day,Independence Day_lower,Independence Day_upper,Our Lady of Aparecida,Our Lady of Aparecida_lower,Our Lady of Aparecida_upper,Republic Proclamation Day,Republic Proclamation Day_lower,Republic Proclamation Day_upper,Tiradentes' Day,Tiradentes' Day_lower,Tiradentes' Day_upper,Universal Fraternization Day,Universal Fraternization Day_lower,Universal Fraternization Day_upper,Worker's Day,Worker's Day_lower,Worker's Day_upper,additive_terms,additive_terms_lower,additive_terms_upper,christmas_dummy,christmas_dummy_lower,christmas_dummy_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,holidays,holidays_lower,holidays_upper,july_15_dummy,july_15_dummy_lower,july_15_dummy_upper,log_transactions,log_transactions_lower,log_transactions_upper,log_transactions_lag_1,log_transactions_lag_1_lower,log_transactions_lag_1_upper,log_transactions_lag_14,log_transactions_lag_14_lower,log_transactions_lag_14_upper,log_transactions_lag_28,log_transactions_lag_28_lower,log_transactions_lag_28_upper,log_transactions_lag_7,log_transactions_lag_7_lower,log_transactions_lag_7_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2017-07-12,13.636710046271942,13.487069599689676,13.784947094230208,13.636710046271942,13.636710046271942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012537928466383448,0.0012537928466383448,0.0012537928466383448,-0.000702834966532575,-0.000702834966532575,-0.000702834966532575,0.006525053378734666,0.006525053378734666,0.006525053378734666,0.0,0.0,0.0,0.00017707034191519834,0.00017707034191519834,0.00017707034191519834,0.007308772115536398,0.007308772115536398,0.007308772115536398,0.0002968153943498999,0.0002968153943498999,0.0002968153943498999,0.00011879914444742903,0.00011879914444742903,0.00011879914444742903,0.000997861938666443,0.000997861938666443,0.000997861938666443,-0.0016714305896481272,-0.0016714305896481272,-0.0016714305896481272,-0.046008818589746155,-0.046008818589746155,-0.046008818589746155,0.04073755805764983,0.04073755805764983,0.04073755805764983,0.0,0.0,0.0,13.63796383911858
2017-07-13,13.636969275903656,13.337906067800324,13.628907949817247,13.636969275903656,13.636969275903656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15718906702946028,-0.15718906702946028,-0.15718906702946028,-0.000702834966532575,-0.000702834966532575,-0.000702834966532575,-0.0179790556871041,-0.0179790556871041,-0.0179790556871041,0.0,0.0,0.0,0.00017707034191519834,0.00017707034191519834,0.00017707034191519834,-0.01843595375485626,-0.01843595375485626,-0.01843595375485626,0.0006866708440235468,0.0006866708440235468,0.0006866708440235468,-0.00014071529359527962,-0.00014071529359527962,-0.00014071529359527962,0.0008618631984564185,0.0008618631984564185,0.0008618631984564185,-0.00042515605651514786,-0.00042515605651514786,-0.00042515605651514786,-0.18137848716446878,-0.18137848716446878,-0.18137848716446878,0.0421684758221126,0.0421684758221126,0.0421684758221126,0.0,0.0,0.0,13.479780208874196
2017-07-14,13.637228505535372,13.46784233014604,13.760378322932953,13.637228505535372,13.637228505535372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02527471485005286,-0.02527471485005286,-0.02527471485005286,-0.000702834966532575,-0.000702834966532575,-0.000702834966532575,0.00449072968963063,0.00449072968963063,0.00449072968963063,0.0,0.0,0.0,-0.01807224177171993,-0.01807224177171993,-0.01807224177171993,0.02309225238504309,0.02309225238504309,0.02309225238504309,-0.0013209342848055268,-0.0013209342848055268,-0.0013209342848055268,0.000843166083690903,0.000843166083690903,0.000843166083690903,0.002397199737215359,0.002397199737215359,0.002397199737215359,-0.0017458774932606873,-0.0017458774932606873,-0.0017458774932606873,-0.07280852413759378,-0.07280852413759378,-0.07280852413759378,0.043043079597910296,0.043043079597910296,0.043043079597910296,0.0,0.0,0.0,13.61195379068532
2017-07-15,13.637487735167086,13.73552617539405,14.025188310582537,13.637487735167086,13.637487735167086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24552833556400344,0.24552833556400344,0.24552833556400344,-0.000702834966532575,-0.000702834966532575,-0.000702834966532575,0.04333249097414912,0.04333249097414912,0.04333249097414912,0.0,0.0,0.0,-0.03632155388535506,-0.03632155388535506,-0.03632155388535506,0.07495913447170352,0.07495913447170352,0.07495913447170352,0.0019174858893791192,0.0019174858893791192,0.0019174858893791192,0.002483788194766955,0.002483788194766955,0.002483788194766955,0.004911973692629118,0.004911973692629118,0.004911973692629118,-0.003915502422441971,-0.003915502422441971,-0.003915502422441971,0.15889406996469518,0.15889406996469518,0.15889406996469518,0.04330177462515913,0.04330177462515913,0.04330177462515913,0.0,0.0,0.0,13.88301607073109
2017-07-16,13.637746964798803,13.811634245696562,14.122362086877633,13.637746964798803,13.637746964798803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3312650298247199,0.3312650298247199,0.3312650298247199,-0.000702834966532575,-0.000702834966532575,-0.000702834966532575,0.04781289205923824,0.04781289205923824,0.04781289205923824,0.0,0.0,0.0,-0.01807224177171993,-0.01807224177171993,-0.01807224177171993,0.058567109406829826,0.058567109406829826,0.058567109406829826,0.005962128625828039,0.005962128625828039,0.005962128625828039,0.0021464671430718443,0.0021464671430718443,0.0021464671430718443,0.003199928999397618,0.003199928999397618,0.003199928999397618,-0.0032876653776365773,-0.0032876653776365773,-0.0032876653776365773,0.24056077805936638,0.24056077805936638,0.24056077805936638,0.04289135970611534,0.04289135970611534,0.04289135970611534,0.0,0.0,0.0,13.969011994623523
2017-07-17,13.638006194430517,13.528010769565121,13.832628045695209,13.638006194430517,13.638006194430517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04593363891733181,0.04593363891733181,0.04593363891733181,-0.000702834966532575,-0.000702834966532575,-0.000702834966532575,0.018599973116982745,0.018599973116982745,0.018599973116982745,0.0,0.0,0.0,0.00017707034191519834,0.00017707034191519834,0.00017707034191519834,0.0133193269020173,0.0133193269020173,0.0133193269020173,0.004683858514978604,0.004683858514978604,0.004683858514978604,0.00107064353891472,0.00107064353891472,0.00107064353891472,0.0010182557099683877,0.0010182557099683877,0.0010182557099683877,-0.0009663469242788911,-0.0009663469242788911,-0.0009663469242788911,-0.014432770302312723,-0.014432770302312723,-0.014432770302312723,0.041766436102661786,0.041766436102661786,0.041766436102661786,0.0,0.0,0.0,13.683939833347848
2017-07-18,13.638265424062231,13.453503079349312,13.743811936010603,13.638265424062231,13.638265424062231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04418529069412986,-0.04418529069412986,-0.04418529069412986,-0.000702834966532575,-0.000702834966532575,-0.000702834966532575,0.000750216071339778,0.000750216071339778,0.000750216071339778,0.0,0.0,0.0,0.00017707034191519834,0.00017707034191519834,0.00017707034191519834,-0.001440902069330397,-0.001440902069330397,-0.001440902069330397,0.0011553812384241511,0.0011553812384241511,0.0011553812384241511,0.0009084739676651129,0.0009084739676651129,0.0009084739676651129,0.0011083696951510336,0.0011083696951510336,0.0011083696951510336,-0.00045534213595274615,-0.00045534213595274615,-0.00045534213595274615,-0.08482624783028045,-0.08482624783028045,-0.08482624783028045,0.03989074106481081,0.03989074106481081,0.03989074106481081,0.0,0.0,0.0,13.5940801333681
2017-07-19,13.638524653693947,13.488755682001036,13.794009387598575,13.638524653693947,13.638524653693947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004833656959392098,-0.004833656959392098,-0.004833656959392098,-0.000702834966532575,-0.000702834966532575,-0.000702834966532575,0.0039367919227646046,0.0039367919227646046,0.0039367919227646046,0.0,0.0,0.0,0.00017707034191519834,0.00017707034191519834,0.00017707034191519834,0.0032089143767021293,0.0032089143767021293,0.0032089143767021293,4.360577542002509e-06,4.360577542002509e-06,4.360577542002509e-06,0.0009063672557707999,0.0009063672557707999,0.0009063672557707999,0.0010238250332634832,0.0010238250332634832,0.0010238250332634832,-0.0006809106958964339,-0.0006809106958964339,-0.0006809106958964339,-0.04600881858980916,-0.04600881858980916,-0.04600881858980916,0.03723836970765246,0.03723836970765246,0.03723836970765246,0.0,0.0,0.0,13.633690996734556
2017-07-20,13.638783883325662,13.347188997856657,13.643231571521877,13.638783883325662,13.638783883325662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1474031109940979,-0.1474031109940979,-0.1474031109940979,-0.000702834966532575,-0.000702834966532575,-0.000702834966532575,0.00018052651969209635,0.00018052651969209635,0.00018052651969209635,0.0,0.0,0.0,0.00017707034191519834,0.00017707034191519834,0.00017707034191519834,-0.0007103697401649332,-0.0007103697401649332,-0.0007103697401649332,0.0003669589362180313,0.0003669589362180313,0.0003669589362180313,0.00034615400502490827,0.00034615400502490827,0.00034615400502490827,0.00022286759756461166,0.00022286759756461166,0.00022286759756461166,0.0004806803456668549,0.0004806803456668549,0.0004806803456668549,-0.18137848716455404,-0.18137848716455404,-0.18137848716455404,0.03379484965076404,0.03379484965076404,0.03379484965076404,0.0,0.0,0.0,13.491380772331564
2017-07-21,13.639043112957378,13.478899335264945,13.773410293581726,13.639043112957378,13.639043112957378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015440219509325557,-0.015440219509325557,-0.015440219509325557,-0.000702834966532575,-0.000702834966532575,-0.000702834966532575,0.027810270056592024,0.027810270056592024,0.027810270056592024,0.0,0.0,0.0,0.00017707034191519834,0.00017707034191519834,0.00017707034191519834,0.02721345938034355,0.02721345938034355,0.02721345938034355,6.132837973152589e-05,6.132837973152589e-05,6.132837973152589e-05,0.000939831906433214,0.000939831906433214,0.000939831906433214,0.0015144696028280913,0.0015144696028280913,0.0015144696028280913,-0.0013930545881269813,-0.0013930545881269813,-0.0013930545881269813,-0.07280852413742389,-0.07280852413742389,-0.07280852413742389,0.029558034571506308,0.029558034571506308,0.029558034571506308,0.0,0.0,0.0,13.623602893448052
